Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
006400,KR7006400006,삼성SDI,KOSPI,,657000,2,-31000,-4.51,679000,679000,650000,592252,390479326000,52944693210000,80585530,STK
034730,KR7034730002,SK,KOSPI,,677000,1,1000,0.15,661000,690000,655000,105897,71346498000,49084329931000,72502703,STK
055550,KR7055550008,신한지주,KOSPI,,94600,1,1000,1.07,93200,96200,92600,442888,41847660600,44902302550600,474654361,STK
068270,KR7068270008,셀트리온,KOSPI,,191300,2,-1600,-0.83,191400,194300,189100,434990,83417512400,42492003833300,222122341,STK
035420,KR7035420009,NAVER,KOSPI,,270250,1,36250,15.49,251000,272500,244500,5863448,1517657691250,42395137964000,156873776,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,274500,1,33000,13.66,240000,281500,238500,1796120,481014725750,41175000000000,150000000,STK
011070,KR7011070000,LG이노텍,KOSPI,,1719000,1,261000,17.9,1601000,1788000,1490000,1036432,1690198332000,40683756933000,23667107,STK
000150,KR7000150003,두산,KOSPI,,2431000,1,459000,23.28,2145000,2489000,2123000,153551,351133709000,39367212885000,16193835,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,1088000,1,35000,3.32,1054000,1112000,1037000,111408,121190917500,39219282880000,36047135,STK
042660,KR7042660001,한화오션,KOSPI,,124700,1,1400,1.14,126300,130800,122600,1348700,171700258100,38209750231800,306413394,STK
298040,KR7298040007,효성중공업,KOSPI,,3863000,1,178000,4.83,3665000,3970000,3640000,46928,182576863500,36020728924000,9324548,STK
006800,KR7006800007,미래에셋증권,KOSPI,,61300,2,-100,-0.16,60200,64300,59400,2442899,152193923100,34301449744000,559566880,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,413500,2,-10000,-2.36,418000,426000,412000,349709,145871763250,32766371414500,79241527,STK
086790,KR7086790003,하나금융지주,KOSPI,,115800,1,700,0.61,114400,118100,113600,418580,48475414900,31771785218400,274367748,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,382000,1,83000,27.76,323000,388500,314000,2080213,755201246750,29558319600000,77377800,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,411000,2,-12000,-2.84,419000,427500,407000,120456,50134468500,29087750676000,70773116,STK
010130,KR7010130003,고려아연,KOSPI,,1392000,1,19000,1.38,1355000,1409000,1331000,14679,20269097000,29055172848000,20872969,STK
003550,KR7003550001,LG,KOSPI,,183300,1,36700,25.03,158900,185000,157700,3614331,633389003500,28268816530500,154221585,STK
042700,KR7042700005,한미반도체,KOSPI,,295000,1,13000,4.61,289500,299000,285500,783958,228239366750,28117099000000,95312200,STK
307950,KR7307950006,현대오토에버,KOSPI,,1025000,1,94000,10.1,931000,1066000,905000,536115,524881410500,28109581550000,27423982,STK
000810,KR7000810002,삼성화재,KOSPI,,622000,1,53000,9.31,579000,632000,570000,110861,67524385000,27770728206000,44647473,STK
051910,KR7051910008,LG화학,KOSPI,,377500,1,10500,2.86,364500,379500,358500,266009,98879152500,26648609482500,70592343,STK
015760,KR7015760002,한국전력,KOSPI,,38775,2,-125,-0.32,38700,39000,38200,1212934,46870885325,24892157085675,641964077,STK
010140,KR7010140002,삼성중공업,KOSPI,,27775,2,-175,-0.63,27900,28700,27400,3048513,85678953550,24442000000000,880000000,STK
064350,KR7064350002,현대로템,KOSPI,,215500,1,15000,7.48,200000,224500,196200,617939,133916229850,23520164141500,109142293,STK
017670,KR7017670001,SK텔레콤,KOSPI,,105800,1,5200,5.17,103000,107900,100100,955781,99689393300,22724787607400,214790053,STK
267250,KR7267250009,HD현대,KOSPI,,286500,1,9000,3.24,272000,292000,267000,121943,34670777500,22631518852500,78993085,STK
316140,KR7316140003,우리금융지주,KOSPI,,29550,2,-150,-0.51,29700,30550,29400,1197874,35747255050,21691955256000,734076320,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,235000,2,-10500,-4.28,241000,242000,232000,209112,49518513250,20902361700000,88946220,STK
096770,KR7096770003,SK이노베이션,KOSPI,,117600,2,-1600,-1.34,118200,121000,115200,333394,39416101050,19880607868800,169052788,STK
272210,KR7272210006,한화시스템,KOSPI,,103100,2,-1900,-1.81,103100,106850,99700,590326,61342310300,19477589005900,188919389,STK
033780,KR7033780008,KT&G,KOSPI,,185500,1,800,0.43,183300,186800,183300,130840,24306252250,19256839588000,103810456,STK
035720,KR7035720002,카카오,KOSPI,,43000,1,1050,2.5,43000,43300,41300,2278403,96839920450,18992696402000,441690614,STK
011200,KR7011200003,HMM,KOSPI,,19840,1,280,1.43,19560,20150,19490,1260151,25023159200,18713841324800,943237970,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,107300,1,4400,4.28,102500,107600,102300,208279,22112531100,17956362392900,167347273,STK
086280,KR7086280005,현대글로비스,KOSPI,,238000,2,-4500,-1.86,245000,247000,233000,328660,78136837250,17850000000000,75000000,STK
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,780000,2,-21000,-2.62,780000,818000,762000,178849,141600930500,17160000000000,22000000,STK
047810,KR7047810007,한국항공우주,KOSPI,,169400,1,1100,0.65,165400,173500,162000,476046,81024791500,16512283125800,97475107,STK
024110,KR7024110009,기업은행,KOSPI,,20150,2,-50,-0.25,20100,20450,20000,1047845,21121514950,16068131260350,797425869,STK
278470,KR7278470000,에이피알,KOSPI,,425000,1,29500,7.46,396000,425000,394500,458262,188703879500,15911215875000,37438155,STK
000720,KR7000720003,현대건설,KOSPI,,140000,2,-7000,-4.76,142500,144100,139000,774477,109326879400,15589807100000,111355765,STK
006260,KR7006260004,LS,KOSPI,,467000,1,21000,4.71,453000,487500,442000,240334,113237422250,14570400000000,31200000,STK
