Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2019-02-15,738.66,2,-3.61,-0.0049,741.53,743.2,734.37,737998888,4103589081840,250599992041802.0
2019-02-18,745.33,1,6.67,0.009,743.53,746.81,742.5,734383010,3422762288037,252958777803011.0
2019-02-19,748.05,1,2.72,0.0036,746.5,748.69,741.2,793917047,4023712015054,253987813292963.0
2019-02-20,750.69,1,2.64,0.0034999999999999,749.52,751.66,747.56,885293212,4103406263374,255424452195619.0
2019-02-21,747.33,2,-3.36,-0.0045,752.3,752.75,744.87,956553966,4334338331038,254302733216394.0
2019-02-22,743.38,2,-3.95,-0.0053,747.25,748.11,740.94,965508426,3920070962790,253089830791098.0
2019-02-25,750.4,1,7.02,0.0093999999999999,746.79,750.93,746.3,735845476,3701081658260,255564176845209.0
2019-02-26,747.09,2,-3.31,-0.0044,752.25,753.66,746.12,956644348,3832204470466,254604553318959.0
2019-02-27,752.16,1,5.07,0.0068,748.11,752.16,747.16,921722317,3986164490346,256372124992380.0
2019-02-28,731.25,2,-20.91,-0.0278,753.29,755.92,731.25,1016481452,5427451603553,249196922425730.0
2019-03-04,748.07,1,16.82,0.023,739.19,748.87,739.19,707577329,4184004983196,254982915497620.0
2019-03-05,747.95,2,-0.12,-0.0002,746.9,751.45,743.8,753414435,4386457020919,256229006168043.0
2019-03-06,746.7,2,-1.25,-0.0017,750.13,750.81,741.68,846993878,4320269888968,255757714884388.0
2019-03-07,736.83,2,-9.87,-0.0132,746.21,750.13,733.49,897292641,4482811030884,252451521962709.0
2019-03-08,735.97,2,-0.86,-0.0012,733.38,739.59,730.42,871229124,3573382377818,252101576340321.0
2019-03-11,739.09,1,3.12,0.0042,737.27,739.1,726.11,686954305,3892937135444,253141160291227.0
2019-03-12,754.76,1,15.67,0.0212,745.76,754.76,745.76,792766590,5189636070641,257319123920014.0
2019-03-13,754.89,1,0.13,0.0002,755.3,758.9,750.49,797145431,4981843746791,257314386798309.0
2019-03-14,755.42,1,0.53,0.0007,758.53,762.41,755.42,643981465,4405717875089,257522551866539.0
2019-03-15,748.36,2,-7.06,-0.0093,756.82,757.29,743.34,881367995,5907010498846,255342326725899.0
2019-03-18,753.13,1,4.77,0.0064,752.15,755.89,748.7,705218778,4343581491035,256965884676772.0
2019-03-19,748.91,2,-4.22,-0.0056,757.07,757.88,748.76,984686466,4713909636460,255533876679720.0
2019-03-20,749.76,1,0.85,0.0011,750.5,750.5,741.25,880135052,4838198497290,255742070457329.0
2019-03-21,743.52,2,-6.24,-0.0083,750.79,753.98,742.03,795564446,4822786804180,253620523613674.0
2019-03-22,743.97,1,0.45,0.0006,747.87,748.05,741.03,752365722,4744195193807,254008903243493.0
2019-03-25,727.21,2,-16.76,-0.0225,733.51,737.22,726.93,696282882,4494273492070,248283881293986.0
2019-03-26,736.81,1,9.6,0.0132,732.76,737.5,729.22,656384764,3912306076119,251389139094777.0
2019-03-27,728.45,2,-8.36,-0.0113,739.22,739.22,728.43,748819204,4137567377744,249152887716950.0
2019-03-28,719.72,2,-8.73,-0.012,727.7,728.56,719.72,695541132,3893133953049,246179611007462.0
2019-03-29,729.31,1,9.59,0.0133,723.64,729.31,714.53,779262138,4081058843724,249257413979735.0
2019-04-01,736.81,1,7.5,0.0103,731.5,737.69,729.74,704756685,3592041943598,251172763022900.0
2019-04-02,739.57,1,2.76,0.0037,740.94,740.94,737.18,955939923,4106381975763,251856567066333.0
2019-04-03,749.3,1,9.73,0.0132,741.76,749.3,740.73,807521350,4220277762824,255220562464877.0
2019-04-04,751.58,1,2.28,0.003,750.9,753.39,746.29,879690011,4359673200201,256161280047488.0
2019-04-05,751.71,1,0.13,0.0002,752.28,753.97,748.79,788494161,4273409603442,256131503119815.0
2019-04-08,751.92,1,0.21,0.0003,755.32,756.16,750.02,762374091,4321665707119,256229804900545.0
2019-04-09,756.81,1,4.89,0.0065,753.72,756.92,749.87,836573253,4701168278265,257772263571615.0
2019-04-10,760.15,1,3.34,0.0044,755.73,760.15,754.05,744528283,4692968086240,258999547195325.0
2019-04-11,766.49,1,6.34,0.0083,762.15,766.56,762.13,760873641,4329711935026,261317478015639.0
2019-04-12,767.85,1,1.36,0.0018,765.6,769.09,762.99,926529303,4342635071383,261987812245584.0
2019-04-15,766.75,2,-1.1,-0.0014,770.63,770.66,765.62,951955801,4783660077768,261996782554331.0
2019-04-16,765.02,2,-1.73,-0.0023,767.59,767.73,758.69,979257064,4776286054814,261543432632971.0
2019-04-17,766.89,1,1.87,0.0024,766.7,768.43,765.36,1063544966,4967478306557,262126284511625.0
2019-04-18,753.52,2,-13.37,-0.0174,767.74,767.85,751.59,904450018,4815044019784,257721056087787.0
2019-04-19,762.57,1,9.05,0.012,757.42,762.95,757.35,773546174,3805305968263,260935317389039.0
2019-04-22,762.01,2,-0.56,-0.0007,764.37,767.02,760.02,691820958,3677724507590,260715131871053.0
2019-04-23,761.42,2,-0.59,-0.0008,763.58,764.48,756.77,895100932,4169425321426,260579136322297.0
2019-04-24,757.82,2,-3.6,-0.0046999999999999,765.0,765.02,755.93,886600155,4453437820077,259580232785139.0
